nestID,pouchID,bait_ct,survival,mortality,assoc_abund,hpos,subsample,pct_surv,pct_mort
DM616-1,1,20,18,2,60,up,1,90,10
DM616-1,2,20,19,1,60,up,2,95,5
DM616-1,3,20,20,0,60,mid,1,100,0
DM616-1,4,20,17,3,60,mid,2,85,15
DM616-1,5,20,1,19,60,down,1,5,95
DM616-1,6,20,0,20,60,down,2,0,100
DM619-1,1,20,20,0,125,up,1,100,0
DM619-1,2,20,12,8,125,up,2,60,40
DM619-1,3,20,19,1,125,mid,1,95,5
DM619-1,4,20,15,5,125,mid,2,75,25
DM619-1,5,20,17,3,125,down,1,85,15
DM619-1,6,20,20,0,125,down,2,100,0
MM617-2,1,20,20,0,50,up,1,100,0
MM617-2,2,20,20,0,50,up,2,100,0
MM617-2,3,20,17,3,50,mid,1,85,15
MM617-2,4,20,20,0,50,mid,2,100,0
MM617-2,5,20,20,0,50,down,1,100,0
MM617-2,6,20,20,0,50,down,2,100,0
MM616-3,1,20,19,1,65,up,1,95,5
MM616-3,2,20,20,0,65,up,2,100,0
MM616-3,3,20,17,3,65,mid,1,85,15
MM616-3,4,20,7,13,65,mid,2,35,65
MM616-3,5,20,18,2,65,down,1,90,10
MM616-3,6,20,18,2,65,down,2,90,10
up-up1,1,20,19,1,100,up,1,95,5
up-up1,2,20,20,0,100,up,2,100,0
up-up1,3,20,19,1,100,mid,1,95,5
up-up1,4,20,20,0,100,mid,2,100,0
up-up1,5,20,20,0,100,down,1,100,0
up-up1,6,20,20,0,100,down,2,100,0
up-up2,1,20,20,0,10,up,1,100,0
up-up2,2,20,20,0,10,up,2,100,0
up-up2,3,20,19,1,10,mid,1,95,5
up-up2,4,20,20,0,10,mid,2,100,0
up-up2,5,20,20,0,10,down,1,100,0
up-up2,6,20,20,0,10,down,2,100,0
up-up3,1,20,20,0,0,up,1,100,0
up-up3,2,20,20,0,0,up,2,100,0
up-up3,3,20,20,0,0,mid,1,100,0
up-up3,4,20,20,0,0,mid,2,100,0
up-up3,5,20,19,1,0,down,1,95,5
up-up3,6,20,20,0,0,down,2,100,0
2022_4,1,20,9,11,158,up,1,45,55
2022_4,2,20,17,3,158,up,2,85,15
2022_4,3,20,0,20,158,mid,1,0,100
2022_4,4,20,19,1,158,mid,2,95,5
2022_4,5,20,12,8,158,down,1,60,40
2022_4,6,20,17,3,158,down,2,85,15
2022_5,1,20,0,20,45,up,1,0,100
2022_5,2,20,0,20,45,up,2,0,100
2022_5,3,20,0,20,45,mid,1,0,100
2022_5,4,20,0,20,45,mid,2,0,100
2022_5,5,20,0,20,45,down,1,0,100
2022_5,6,20,0,20,45,down,2,0,100
2022_6,1,20,0,20,79,up,1,0,100
2022_6,2,20,19,1,79,up,2,95,5
2022_6,3,20,14,6,79,mid,1,70,30
2022_6,4,20,1,19,79,mid,2,5,95
2022_6,5,20,1,19,79,down,1,5,95
2022_6,6,20,0,20,79,down,2,0,100
2022_7,1,20,0,20,137,up,1,0,100
2022_7,2,20,7,13,137,up,2,35,65
2022_7,3,20,20,0,137,mid,1,100,0
2022_7,4,20,19,1,137,mid,2,95,5
2022_7,5,20,0,20,137,down,1,0,100
2022_7,6,20,0,20,137,down,2,0,100
2022_8,1,20,19,1,96,up,1,95,5
2022_8,2,20,19,1,96,up,2,95,5
2022_8,3,20,0,20,96,mid,1,0,100
2022_8,4,20,17,3,96,mid,2,85,15
2022_8,5,20,0,20,96,down,1,0,100
2022_8,6,20,19,1,96,down,2,95,5
2022_9,1,20,18,2,27,up,1,90,10
2022_9,2,20,19,1,27,up,2,95,5
2022_9,3,20,13,7,27,mid,1,65,35
2022_9,4,20,18,2,27,mid,2,90,10
2022_9,5,20,19,1,27,down,1,95,5
2022_9,6,20,20,0,27,down,2,100,0
2022_10,1,20,19,1,9,up,1,95,5
2022_10,2,20,12,8,9,up,2,60,40
2022_10,3,20,0,20,9,mid,1,0,100
2022_10,4,20,0,20,9,mid,2,0,100
2022_10,5,20,0,20,9,down,1,0,100
2022_10,6,20,0,20,9,down,2,0,100
